label,original_language,n
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,English,306
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Ukrainian,71
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Turkish,70
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Polish,51
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Chinese,44
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,French,36
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Romanian,35
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Russian,34
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Serbian,25
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Korean,24
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Croatian,22
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Lithuanian,20
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Portuguese,19
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Bosnian,18
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Slovak,16
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Arabic,13
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Greek,13
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Spanish,13
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Bulgarian,12
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,German,12
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Hebrew,11
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Albanian,11
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Norwegian,10
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Latvian,8
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Indonesian,6
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Japanese,6
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Czech,5
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Thai,3
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Italian,3
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Macedonian,2
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Armenian,1
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Gujarati,1
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Estonian,1
Condemnation of Russian Aggression and Ukrainian Sovereignty Advocacy,Hungarian,1
